id,pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
508p,Ralph Archuleta,2/1/12,1/31/17,25000,University of Southern California,Institutes of higher education,Y86552-D,SCEC4 Participation Project D: 1987 Superstition Hills Earthquake: A Triggered Event with a Complex Nucleation and Rupture Dynamics,The basic goals of this research are as following: 1. Dynamic rupture model for Elmore Ranch earthquake. Although the Elmore Ranch Fault (ERF) earthquake is relatively simple (most researchers have treated it as a point source) we want to construct a more comprehensive stress model for the ERF earthquake. We want to construct the initial stress on the ERF fault first using existing methods (e.g. Hauksson 1994) considering its local tectonic context and fault geometry and also taking into account the aftershock sequence of the ERF earthquake during the 12 hours preceding the Superstition Hills Fault (SHF) earthquake. 2. Evaluate the stress perturbation on the SHF due to the Elmore Ranch earthquake. Based on the results from Step 1 as well as the location and focal information of the aftershock sequence of the ERF earthquake we will evaluate the stress perturbation on the main SHF. We will account for the fault geometry with great care to insure the relative accuracy of the Coulomb stress change estimates. It is obvious that the MW 6.2 ERF earthquake will have a major influence on the SHF nucleation. 3. Dynamic rupture model for Superstition Hills earthquake. We are going to combine the results from first two steps as outlined and previous research to constrain our stress model. We will take into account the heterogeneous velocity structure such as variable basement depth material property contrast across the fault as well as the non-planar feature of the fault (gradual fault strike changes segment stepover). We wish to integrate as much previous research as possible to construct our rupture dynamics model. We want to construct an initial stress field that could produce the key rupture patterns obtained from the observations. The relocated aftershock dataset gives us a chance to look at the possibility of stress transfer and triggering. The strong motion waveforms and the surface rupture measurements place strong constraints on the stress conditions in the upper kilometers which have almost no aftershocks in the double difference catalog. In particular we will analyze the stress conditions for the dynamic rupture model paying specific attention to the emergent nucleation and the partitioning of the seismic radiation into and high- and low-frequency energy. ,2012,2017
509p,Chen Ji Ralph Archuleta,2/1/13,1/31/17,25000,University of Southern California,Institutes of higher education,Y86552-I,SCEC4 Participation Project I: Developing and testing Realtime finite fault inversion and ground motion prediction algorithms using ShakeOut synthetic datasets,The Great Southern California Shake-Out (www.shakeout.org) is a NEHRP-coordinated multihazard response exercise based on an Mw 7.8 rupture scenario of the southern San Andreas fault (Jones et al. 2008) in order to improve public awareness and readiness for the next great earthquake in southern California. Several kinematic and dynamic rupture scenarios (Graves et al. 2008; Olsen et al. 2009) had been created to artificially break a 305 km long segment of the San Andreas fault from Bombay Beach on the Salton Sea to Lake Hughes 20 km northwest of Palmdale. Multiple groups have preformed the deterministic ground motion modeling for low frequencies (<1Hz) using SCEC CVM4 velocity structure and some of results were in good agreement (Bielak et al. 2010). Graves et al. (2008) also generated the broadband (010 Hz) ground motion simulations which combines a 3D deterministic approach at low frequencies (<1 Hz) with a semi-stochastic approach at high frequencies (>1 Hz). Currently this unique dataset has been used yearly for the ShakeOut earthquake drill which had 8.6 million participants this year. Here we propose to use it as a benchmark to test algorithms of quick finite fault inversion and ground motion prediction. We propose to address the following questions: 1) How quick can we determine the focal mechanism seismic moment of this scenario earthquake using the new MDC approach? 2) How quick can a finite fault source model based on current algorithm be available? 3) What is the spatial-temporal resolution using current strong motion and high rate GPS stations? 4) Can we improve the results with additional stations? If so where are their locations? Note that the previous simulations produced the waveforms at dense surface grids allowing us to address this subject without additional expensive forward calculations. 5) How well will the predicted strong ground motion be? Considering the limited waveform information used to constrain the realtime finite fault the quick solution might not be very precise. Then what is the quality of the predicted ground motion parameters such as PGV and intensity? In the end as suggested by committee efforts will focus on internally operating this realtime system in UCSB and USGS Pasadena office. We also attempt to incorporate the USGS realtime GPS data flow into the system. ,2013,2017
510p,Ralph Archuleta,2/1/13,1/31/17,25000,University of Southern California,Institutes of higher education,Y86552-H,SCEC4 Participation Project H: Incorporating Roughness and Supershear in UCSB Broadband Modeling,A puzzling observation of recorded borehole ground motion at very close hypocentral distances from faults reveal a great deal of incoherency in high frequency (HF) seismograms from direct body waves. Because of their arrivals and the closeness of the recording station to the fault one can deduce that the level of scattering of these waves is not that meaningful. Scattering increases in a diffusive way with distance and travel time (Zeng et al. 1990) making it difficult for CODA to show up at such short distances. Therefore a plausible assumption is that there must be complexity at the rupture fronts of earthquakes for very small scales (Gusev 2012). With these important observations it is necessary to study in detail the rupture front complexity and to answer the question: Is the rupture front continuous and smooth across the fault? If we find that rupture front is not smooth or continuous across the fault then a natural follow up question would be how will this complexity at smaller scales affect ground motion intensity measures (GMIs) such as PGA PGV and Arias Intensity? If we find that the rupture front is not continuous or smooth then the effect of the irregularity in the rupture front must be included into current kinematic ground motion simulation techniques such as Schmedes et al. (SAL 2010). ,2013,2017
511p,Jamison Steidl Ralph Archuleta, 2/1/2012,1/31/17,116000,University of Southern California,Institutes of higher education,Y86552-A,SCEC4 Participation Project A: SCEC Borehole Instrumentation Center,The SCEC borehole program continues to be a highly leveraged and collaborative effort between SCEC and other agencies to maintain the existing network of borehole stations in California and to facilitate the integration of this data into CISN and the SCEC data center. The borehole program is highly leveraged taking advantage of the resources of other programs and agencies that are active in monitoring southern California earthquake activity. This data is made available online to the public and research community. As has been the case for many years joint monitoring efforts continue between SCEC and the US Geological Survey and Caltech through ANSS NSMP and CISN and the California Geological Survey to maintain the existing network of borehole stations. Other collaborators include the NSF funded NEES and HPWREN programs as well as an NSF funded project to image the San Jacinto Fault zone which has been leveraged to include the installation of additional borehole sensors along the San Jacinto. In 2012 the SCEC borehole program will continue to maintain the existing borehole stations in the southern California region and also continue the collaborations with; the NEES program through processing and data dissemination of the SCEC borehole data; the SCEC/EarthScope Plate Boundary Observatory borehole strainmeter program that includes pore pressure observations and both weak- and strong-motion seismic monitoring in the Anza region; and the strong-motion borehole sensors being installed as part of a new NSF funded study of the San Jacinto fault zone. ,2012,2017
512p,Ralph Archuleta Jorge Crempien,6/1/16,5/31/17,35000,University of Southern California,Institutes of higher education,10450329,SCEC4 Participation Project U: High Frequency Path and Source Parameters Determined from Recorded Ground Motion in Central California,The Central California Seismic Project (CCSP) highlights Use observations of ground motion from local earthquakes and dense recordings of ground motion (where available) to characterize the ability to predict the intensity of strong ground motion and its variability. One of the most critical factors affecting ground motion is attenuation both regional and site specific. To our knowledge there have been no systematic attempts to determine the attenuation parameterized by ? (explained in the next paragraph) in Central California (CC) a region that hosts vital infrastructure such as the Diablo Canyon Nuclear Power Plant and several dams all of which are vulnerable to high-frequency ground motion (Muto 2015). The effective attenuation of seismic waves has been approximated by Futterman (1962) and Knopoff (1964) with the following equation A(rf) = exp(-πfr/?Qeff) where r is distance away from the fault f is frequency Qeff is effective seismic quality factor of S-waves and ? is S-wave velocity of the medium. There are many causes for seismic attenuation of waves but the two main recognized physical processes of attenuation have been pointed out to be anelasticity (Qin) and scattering (Qscat) (Dainty 1981) where the effective attenuation can be written as 1/Qeff = 1/Qin +1/Qscat. This relationship shows the difficulty in determining the relative contributions of anelasticity and scattering to the effective attenuation. In spite of this difficulty it has long been recognized that Qscat is frequency dependent (e.g. Jin et al. 1994). If the contribution of scattering to effective attenuation is significant then Qeff should also be frequency dependent. Cormier (1982) proposed a model for attenuation based on the integration along a ray path such that A(f) = A0exp(-πtf) with t = ∫path dr/(?Qeff). As the waves come to the surface the waves experience a major increase in t an argument that inspired Anderson and Hough (1984) to propose a model based on a linear decrease of the log-amplitudes of the Fourier amplitude Spectrum (FAS) of ground motion. They called the slope of this decay ? such that A(f) = A0exp(-π?f) which implies that Qeff is frequency independent. They also concluded that ? increases with distance away from the fault which is interpreted as the regional anelastic attenuation modeled as ?(r)= ?0 + mr where ?0 is the intercept of ? at zero distance and m is the slope of ?(r) as a function of distance. ,2016,2017
513p,Jamison Steidl Ralph Archuleta,2/1/15,1/31/18,18000,University of Southern California,Institutes of higher education,10358789-B,SCEC4 Participation Project Q: The SCEC Portable Broadband Instrument Center,"The PBIC was established in 1991 by Prof. Ralph Archuleta through funding from SCEC to provide a ""pool"" of digital seismic recording equipment for use in post earthquake response and on individual PI driven research experiments within southern California. The PBIC is currently managed at the Earth Research Institute (ERI) by Dr. Jamison Steidl with support from undergraduate student laboratory assistants from the department of geological sciences and electrical and computer engineering. The ability for SCEC to respond rapidly to a major southern California earthquake with the deployment of seismographs in the near-source region was a catalyst for the creation of the PBIC and is a critical asset of SCEC earthquake research community. This has been highlighted recently by the successful deployment of PBIC equipment in the 2010 El MayorCucapah earthquake as well as the 2008 shakeout experiments along the southern San Andreas. Other PBIC successful RAMP deployments occurred in conjunction with the 2004 Parkfield and 2003 San Simeon earthquakes as well as the four major earthquake sequences in the previous decade (1992 M6.1 Joshua Tree and M7.3 Landers 1994 M6.7 Northridge and 1999 M7.1 Hector Mine). The ability to conduct individual PI driven research experiments in between these major earthquake sequences using PBIC equipment is another very important asset. One of the main goals of the PBIC is to facilitate research in the earthquake community by providing readily accessible seismic monitoring stations for deployment in the southern California region. This year the Portable Instrument Center is starting to upgrade the data acquisition technology to current real-time systems capable of integrating directly with the SCSN operations. Over the course of SCEC3 using its two newer real-time stations the PBIC has demonstrated the capability to deploy and integrate its stations into the regional network providing high-quality observations that are being used for earthquake locations and shake map applications. These stations have proven to be dependable and require very little maintenance. The previous generation of SCEC portable equipment is now coming up on two decades of operations. This older equipment is no longer completely reliable or cost-effective to deploy as it requires regular site visits and post-processing efforts. Data recovery is about 75% in the winter months and as low as 50% in the summer months due to the age of the equipment and failure of the older SCSI hard drives in the warmer summer temperatures. This year equipment will be added to provide a third modern real-time station to be used by the SCEC community as well as maintenance and operations of the other two currently deployed stations. ",2015,2018
514p,Dylan Rood Toshiro Tanimoto,5/1/17,9/30/18,22000,University of Southern California,Institutes of higher education,4315363-C,SCEC5 Participation Project: Testing fault geometry and interaction models using high-precision slip rates on the San Cayetano and Ventura-Pitas Point Faults,The primary goal of this work is to use cosmogenic isotope dating techniques to precisely date important and poorly-dated Quaternary strain markers which are variably deformed across two major structures in the Western Transverse Ranges (WTR): the San Cayatano and Ventura Pitas Point faults. These important structures are potentially linked by a fault section (the Southern San Cayetano fault) for which slip rates do not currently exist. Developing the first radiometric chronology of deformed deposits will directly contribute to and reduce uncertainties in earthquake hazards assessments associated with the SCEC5 research priorities WGCEP goals and the USGS National Seismic Hazard Mapping Program. First we will develop precise ages for multiple river terraces and alluvial fans which are differentially deformed across and along strike of the San Cayetano and Pitas Point fault systems. We will in turn use these ages to develop high-resolution deformation rates on these hazardous but poorly understood faults where current greater than two-fold uncertainty on rates exists. Finally we will use the spatial distribution of slip rates along strike and between adjacent faults to test controversial subsurface fault geometry (ramp versus non-ramp models) and fault interaction models. ,2017,2018
515p,Jamison Steidl Toshiro Tanimoto,5/1/17,9/30/18,30000,University of Southern California,Institutes of higher education,17246,SCEC5 Participation Project A: SCEC Borehole Instrumentation Program,The borehole instrumentation program at UCSB continues to be a collaborative effort between SCEC and other agencies to maintain the existing network of borehole stations in California to facilitate the integration of this data into CISN and the Southern California Earthquake data center (SCEDC) and to improve the dissemination of borehole data. The borehole program is highly leveraged taking advantage of the resources of other programs and agencies that are active in monitoring southern California earthquake activity. This data is made available online to the public and research community both through the SCEDC and the UCSB borehole data portal. Organizations the SCEC borehole instrumentation program collaborates with include Caltech/USGS ANSS/NSMP and the California Geological Survey. Other collaborators include the UC San Diego HPWREN program the NSF EarthScope PBO program at UNAVCO and also a NSF funded project to image the San Jacinto Fault zone which has been leveraged along with USGS funding to include the installation of additional shallow borehole sensors along the San Jacinto fault which are now part of the Anza Network. In 2015 the SCEC borehole program began a new collaboration with the U.S. Nuclear Regulatory Commission in support of the UCSB Geotechnical Array Monitoring Project previously funded by the NSF NEES program. The NRC provides continued support for the web-based data dissemination portal and real-time continuous monitoring operations and data processing software an important leveraged component of the SCEC borehole program. ,2017,2018
516p,Ralph Archuleta Jorge Crempien Toshiro Tanimoto,5/1/17,9/30/18,18000,University of Southern California,Institutes of higher education,94315251-D,SCEC5 17234: Estimating Path and Source Parameters in the Southern Sierra Nevada Using a Non-Parametric Approach and Special Source Constraints,Engineering site parameters such as have not been estimated in the Southern Sierra Nevada (SSN) region. We will use a non-parametric approach (Andrews 1986; Castro et al 1990) to estimate simultaneously source and path parameters for the SSN region. To reduce the variability of observations we propose to incorporate additional constraints into the method of Andrews (1986) and Castro et al. (1990) by using the ratios of ground motion spectra produced by two earthquakes whose hypocenters are close to each other and recorded at the same site. This additional constraint should eliminate the path and site conditions allowing us to isolate source effects. We will apply this new approach for the CC coastal dataset that we have already analyzed to see if we can improve on the estimates of the source parameters. Several networks in SSN record strong ground motion with stations maintained by both Northern and Southern California Earthquake Centers (NCEC SCEC) the USGS and the California Geological Survey (CGS). Because we will be working with a limited dataset in the Sierra Nevada we first want to test the proposed method with datasets that are more extensive as well as datasets that include recordings in deep boreholes in order to better estimate the site conditions. The ideal place to do such work is with arrays that are maintained by Dr. Steidl at UCSB: Hollister downhole array (HEO) Garner Valley downhole array (GVDA) and Borrego Valley downhole array (BVDA). These data are available at: http://nees.ucsb.edu/data-portal. Once we have estimated all parameters we will compute stress drops apparent stress radiated energy and other source related parameters. ,2017,2018
517p,Ralph Archuleta Jorge Crempien Toshiro Tanimoto,5/1/17,9/30/18,25000,University of Southern California,Institutes of higher education,94315331-B,SCEC5 17247: Validation of the UCSB Multi-Segment Kinematic Rupture Ground Motion Code Against Recorded Ground Motion for Several Events,Our objective is to compute large ensembles of earthquake simulations for central California sites that are suitable for probabilistic seismic hazard analysis (PSHA). Compare the simulation results with those from ground motion prediction equations (GMPEs.Use this modeling to understand the aleatory variability encoded by the GMPEs and to assess the epistemic uncertainties in the simulation-based PSHA. ,2017,2018
518p,Jamison Steidl,7/1/16,6/30/19,200000,University of Southern California,Institutes of higher education,10456511,Central California Special Project: Temporary Seismic Deployment,This component of the Central California Special Project is to collect broadband (40 seconds to 100 Hz) seismic data from both ambient and earthquake sources in a temporary network of 50 stations. The goal is to provide additional data to improve our understanding of seismic hazard. In particular improving our understanding of the crustal structure and path effects that affect the seismic hazard in the central California region. ,2016,2019
519p,Jamison Steidl Ralph Archuleta,2/1/15,1/31/20,30000,University of Southern California,Institutes of higher education,10358789-A,SCEC4 Participation Project P: SCEC Borehole Instrumentation Program,The Portable Broadband Instrument Center (PBIC) will continue to support individual PI project driven deployments of the older style RefTek and the newer next generation real-time data acquisition systems. The new systems use commercial grade cellular VPN routers or other available Internet based telemetry that allows for continuous transmission of data back to the USGS/Caltech component of CISN. Ongoing projects using PBIC equipment include: real-time deployment of the PBIC stations along the Elsinore fault zone; array deployment of 10 RefTek stations at Pinon Flat to monitor potential tremor activity in the region; and use of the broadband CMG-40T sensors at stations in the Anza regional network. In addition to support of field deployments the PBIC project will continue to maintain the existing pool of older instruments including the long-term loan equipment from the IRIS PASSCAL instrument center and newly acquired RefTek 72A series instruments from the DOE. Heavy involvement of undergraduates is an important part of the PBIC operations as these student laboratory assistants perform the majority of the routine maintenance work under the supervision of the PI and/or engineering staff at the Earth Research Institute. These students also participate in deployments getting hands-on training in the use of the PBIC seismic monitoring equipment and software processing tools. Outreach demonstrations and presentations to local K-12 schools is also a regular activity for the PBIC and will continue. ,2015,2020
520p,Ralph Archuleta Jorge Crempien,2/1/16,1/31/20,30000,University of Southern California,Institutes of higher education,10436016,SCEC4 Participation Project V: Simulation of Kinematic Rupture for Multi-Segment Faults Based on Dynamic Rupture,The ability of earthquake rupture to jump across faults or to propagate on complex faults with multiple bends is of great importance to determine plausible earthquake magnitudes in specific regions (Wesnousky 2006). The sub-discipline of earthquake rupture dynamics has been quite productive in determining the physics of these phenomena which have been observed in many earthquakes such as: The 1992 Mw7.2 Landers (Hart et al. 1993) and 1999 Mw7.1 Hector Mine (Oglesby et al. 2003) Not only is the rupture physics of these earthquakes important but also the near field ground motion they can produce to better inform the engineering community and to properly estimate earthquake hazard and risk. This is a priority for GMP: Develop and implement simulation methods for the modeling of bending faults and multi-segment ruptures. The highest priority need is for kinematic rupture generators for implementation of the UCSB method (Crempien and Archuleta 2015) on the Broadband Platform (BBP). Our goal is to determine plausible rupture prescriptions when generating ground motions from kinematic scenarios involving multiple fault segments or bending faults. Once the rules for simulating kinematic rupture on multiple-segment faults are specified we will validate the model within the realm of the Broadband Validation Exercise (Goulet et al. 2015; Dreger et al. 2015). Specifically for this proposal we will produce kinematic models for the 1992 Landers Mw7.3 and the 1999 Hector Mine Mw7.0 earthquakes. We will use the metrics of the Broadband Validation Exercise in comparing synthetic ground motions with observations. ,2016,2020
521p,Toshiro Tanimoto Jamison Steidl,2/1/18,1/31/20,35000,University of Southern California,Institutes of higher education,104714023-E,SCEC5 Participation Project E: SCEC Borehole Instrumentation Program,The borehole instrumentation program at UCSB is a continuing collaborative data gathering effort between SCEC and other agencies. We help to maintain the existing network of borehole stations in California to facilitate the integration of this data into the regional seismic networks and the Southern California Earthquake Data Center (SCEDC) and to improve the dissemination of this data to the research community world-wide. ,2018,2020
522p,Toshiro Tanimoto Jamison Steidl,2/1/18,1/31/20,35000,University of Southern California,Institutes of higher education, 104714023-E,SCEC5 Participation Project F: SCEC Portable Broadband Instrument Center (PBIC),The ability for SCEC to respond rapidly to a major southern California earthquake with the deployment of both weak- and strong-motion instruments in the near-source region was a catalyst for the creation of the PBIC and remains an important asset of SCEC seismology infrastructure and earthquake research community. This has been highlighted by successful deployments of PBIC equipment following previous earthquakes. The southern California region has been relatively quiet in recent years with the last RAMP deployment during the 2010 El MayorCucapah earthquake. This event was the first post-earthquake response using the modern real-time capable PBIC equipment with stations deployed and data delivered directly back to UCSB and then relayed to the regional seismic network (SCSN). Two of the PBIC stations remained deployed through June of 2014 providing data to the network for more than four years after the mainshock without requiring a site visit. ,2018,2020
523p,Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,9000,University of Southern California,Institutes of higher education,118063069-I,SCEC5 Participation Project I: Verification and Validation of 3D Nonlinear Physics-based Ground Motion Simulations: Phase I,The UCSB specific task for the 2019 proposal is to compile the datasets of both temporary deployments (2004 2007-2008 2014) and the permanent station data across the Garner Valley basin into a single dataset. These will be used to examine depth to basement using HVSR techniques and drive the following years new deployment by identifying gaps in the dataset where additional data is needed to define the basin 2-D and 3-D structure. ,2019,2020
524p,Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,35000,University of Southern California,Institutes of higher education,118063069-J,SCEC5 Participation Project J: Borehole Instrumentation Program,The borehole instrumentation program at UCSB is a continuing collaborative datagathering effort between SCEC and other agencies. We help to maintain the existing network of borehole stations in California to facilitate the integration of this data into the regional seismicnetworks and the Southern California Earthquake Data Center (SCEDC) and to improve the dissemination of this data to the research community world-wide. We also seek targets of opportunity for collaborations that will augment the number of borehole stations providing publicly available data in Southern California. In the past this program has been heavily leveraged through major funding from a single agency with the NSF Engineering Directorate for more than a decade (2002-2014) and more recently the Nuclear Regulatory Commission (NRC) from 2015-2017. The past two years the program has been in-between funding from a large major sponsor and currently the leverage is spread out across multiple agencies/organizations at a significantly smaller level. The real-time data from the SCEC borehole sites is made available online to the public and research community both through the SCEDC and the UCSB borehole-specific data portal. Some of the organizations the SCEC borehole instrumentation program continues to collaborate with include Caltech/USGS ANSS/NSMP the California Geological Survey the UC San Diego HPWREN program the NSF EarthScope PBO program at UNAVCO and the UC San Diego Anza network of shallow borehole sensors along the San Jacinto fault. Stations from these various collaborators are shown in Figure 1 below. ,2019,2020
525p,Jamison Steidl Toshiro Tanimoto,2/1/19,1/31/20,23000,University of Southern California,Institutes of higher education,118063069-K,SCEC5 Participation Project K: Portable Broadband Instrument Center,The PBIC was established more than 2 decades ago through funding from SCEC to provide a pool of digital seismic recording equipment for use in post-earthquake response and in individual PI driven research experiments within southern California. While the uses of the PBIC equipment remain unchanged over the years the PBIC is now in the process of modernizing its broadband instrument pool with posthole form factor sensors to adopt this more recent style of station deployment. The ability for SCEC to respond rapidly to a major southern California earthquake with the deployment of both weak- and strong-motion instruments in the near-source region was a catalyst for the creation of the PBIC and remains an important asset of SCEC seismology infrastructure and earthquake research community. This has been highlighted by successful deployments of PBIC equipment following previous earthquakes. The southern California region has been relatively quiet in recent years with the last RAMP deployment during the 2010 El MayorCucapah earthquake. This event was the first post-earthquake response using the modern real-time capable PBIC equipment with stations deployed and data delivered directly back to UCSB and then relayed to the regional seismic network (SCSN). Two of the PBIC stations remained deployed through June of 2014 providing data to the network for more than four years after the mainshock without requiring a site visit. Other successful RAMP deployments include the 2008 shakeout exercise along the southern San Andreas the 2004 Parkfield and 2003 San Simeon earthquakes as well as the four major earthquake sequences in the previous decade (1992 M6.1 Joshua Tree and M7.3 Landers 1994 M6.7 Northridge and 1999 M7.1 Hector Mine). The ability to conduct individual PI driven research experiments in between these major earthquake sequences using PBIC equipment is another very important component of the PBIC program. The PBIC continues to modernize and provide the SCEC community with modern seismic monitoring stations to facilitate individual PI research. ,2019,2020
526p,Ralph Archuleta Chen Ji Toshiro Tanimoto,2/1/19,1/31/20,27000,University of Southern California,Institutes of higher education,,UCSB Broadband Kinematic Rupture Simulation With A Double Corner Source Spectrum,Statement of Work 1. In the current UCSB broadband simulation method (Schmedes et al. 2013; Crempien and Archuleta 2016) there is an explicit constraint: the final moment-rate spectrum should approximate an Aki-Brune single corner spectrum that has an a priori corner based on an assumed stress drop. (The temporal parameters related to the rupture time and the slip-rate functions of each subfault are continuously adjusted in an inner loop until the spectrum of source moment-rate function approximates a specified Aki-Brune spectrum.) As shown by the Allmann and Shearer (2009) spectrum this will lead to underestimation of the acceleration high frequency spectral level. The first priority is to replace the single corner spectrum with a double corner spectrum based on Ji and Archuleta (2018). 2. While we will continue to use spatial correlation for slip (???2) we will replace the regions of high correlation with crack-like asperities (Boatwright 1988). These regions will still produce slip with ???2wavenumber and thus ???2 spectral decay (Herrero and Bernard 1994). This is similar to what is done by Irikura and Miyake (2011). However the location of the asperities will be randomly selected through the von Karman spatial correlation pattern which itself is randomly generated with a given correlation length (Mai and Beroza 2002). 3. We will explore how the asperities will fail in time. Initially we will be guided by the work of Das and Kostrov (1983 1985) Fukuyama and Madariaga (2000) and Dunham et al. (2003). The dynamic solutions indicate that rim of the asperity breaks first and then collapses inward. The timing of the overall rupture front and the timing of the asperity have to be coordinated. 4. We will re-run the SCEC broadband validation problems (Goulet et al. 2015). ,2019,2020
527p,Toshiro Tanimoto,2/1/17,1/31/22,0,University of Southern California,Institutes of higher education,G17AC00047,SCEC5 Master,,2017,2022
528p,Chris Costello,9/1/04,8/31/09,126458,University of Washington,Institutes of higher education,892006,Developing Sustainable Fisheries by Coupling Natural and Human Components of Biocomplexity,The objective of this research is to better understand how heterogeneity in the life strategies of fish coupled with heterogeneity in the strategies and dynamics of processors and fishermen combine to affect the sustainability and long-run success of the Bristol Bay Alaska Salmon fisheries. The effort will focus on developing models of fishery management under uncertainty with heterogeneous actors. Both analytical and simulation-based models will be developed and will extend Costello's work using dynamic stochastic programming to solve these kinds of problems. In addition Costello will be part of the team which models human (fisherman) behavior and the dynamics of fish processors. A key innovation of this research is the integration of uncertainty optimal harvesting and individual dynamics of the agents involved.,2004,2009
529p,Jiancheng Shi,6/20/11,6/19/14,87000,University of Washington,Institutes of higher education,727195,Forward Physical Radiative Transfer Models and Retrieval Algorithms for Radar Remote Sensing of Terrestrial Snow at X Band and Ku Band,"This research will support: a) the Snow and Cold Land process (SCLP) Satellite Mission that has been recommended by the Decadal Study for a NASA space borne mission, and b) the Cold Regions Hydrology High Resolution Observatory (CoReH2O) mission of the European Space Agency. Both missions in active remote sensing of terrestrial snow at X band and Ku band. Dr. Jiancheng Shi will contribute through two complementary efforts, as follows: (1) Dr. Shi will use the snow volume scattering phase functions produced by the Maxwell equations of 3 Dimensional Simulations to develop a parameterized snow backscattering model will be in a simple form with the similar level of accuracy with the complex DMRT model for retrieval algorithm development. The parameterized model will be validated with the CLPX data and the other available field experimental data. (2) Through sensitivity analyses and evaluations of the relationships between radar cross-and co- polarizations and between X-band and Ku-band signals in each scattering component and in total signals, Dr. Shi will develop a new research Snow Water Equivalency (SWE) retrieval algorithm. The developed algorithm will be validated with the CLPX data and the other available field experimental data.",2011,2014
530p,Qinghua Ding,8/1/16,7/31/19,161045,University of Washington,Institutes of higher education,UWSC9314,CVP: Seasonal to interannual variability and predictability of Arctic summertime sea ice associated with tropically forced planetary wave patterns,Increases in economic environmental and security interests in the Arctic demand improved prediction capabilities. This project explores a new path towards improved predictions of Arctic sea ice. We are investigating how teleconnections between tropical sea surface temperatures (SST) and high latitude circulation patterns can be exploited for sea ice predictions. Recent climate change in the Arctic is generally attributed to anthropogenic drivers and related feedbacks between sea ice the ocean and the atmosphere. However work by Ding et al. (2014) and others (e.g. Trenberth et al. 2014) suggest that tropical Pacific SST variability is important in modulating recent Arctic climate variability by influencing the high-latitude atmospheric circulation. So far these papers have examined the teleconnection between tropical SSTs and Arctic circulation and surface air temperatures. One unresolved question is how much does this tropical-Arctic teleconnection affect sea ice variability and predictability? This project aims to fill that gap. Indeed preliminary results suggest that these links with sea ice exist. This work will focus on the implications of this link for seasonal predictability of sea ice and explore how a hierarchy of models captures this link and can be used and improved to enhance Arctic sea ice prediction. ,2016,2019
531p,Qinghua Ding,7/1/16,4/30/20,113422,University of Washington,Institutes of higher education,UWSC10548,Collaborative Research: A high-sensitivity 10Be and extraterrestrial 3He record from an ice core at South Pole,Qinghua Ding (University of California Santa Barbara) will work with the other project members in designing climate modeling runs to test the impact of large scale circulation changes on the deposition of 10Be to the ice surface in the Antarctic in the past 40000 years. In the first year runs will be conducted by Professor Ding using ECHAM5-HAMMOZ. In years 2 and 3 similar climate modeling runs will be further conducted by Professor Ding using an updated ECHAM6-HAM2 climate model. The comparison of results from different climate models (NASA GISS) is fundamental to the project goals,2016,2020
532p,Robert Heilmayr,4/1/18,3/31/19,51220,University of Wisconsin,Institutes of higher education,811K204,Deforestation impacts of the Amazon Soy Moratorium,In 2017 the Gibbs Land Use and Environment Lab (GLUE) and the Heilmayr lab began a research collaboration to use econometric methods to assess the impact of the Amazon Soy Moratorium. Preliminary research focused on existing datasets spanning the Brazilian regions of Matto Gross and Pará. Consistent with previous studies we found remarkably few violations of the Soy Moratorium. However we also found no evidence to indicate that the Soy Moratorium caused observed reductions in deforestation and soy conversion. To control for differences in public policies across Brazilian states and to take advantage of available datasets our preliminary analysis chose to focus upon the states of Mato Grosso and Pará. However prior assessments have highlighted contrasting rates of deforestation in the Amazon and the Cerrado portion of Maranhão Tocantins Piauí and Bahia (Matopiba) as evidence of the moratoriums impact (Gibbs et al. 2015). The spatial scope of our research must be expanded to assess whether the null result found within Matto Gross and Pará holds across the Amazon. In this proposed research we will expand the spatial scope of our analysis to include Maranhão Tocantins Piauí and Bahia. Across this expanded study region we will use quasi-experimental econometric methods to estimate the causal impact of the soy moratorium. Furthermore we will explore spatial variations in impacts from the Soy Moratorium as a function of the stringency and enforcement of public policies and the cleared land bank in each of these regions. In addition we will explore the possibility of using the assembled datasets to contrast the effectiveness of the Soy Moratorium to the Cattle Moratorium. ,2018,2019
